received_time_utc,received_ts_ms,market_ticker,message_type,inferred_side,quantity,probability_percent,probability_source,fee_dollars,fee_source,cumulative_bought_qty,cumulative_sold_qty,raw_message_json
2026-03-18T23:19:44.748000+00:00,1773875984748,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,155.000000,54.0000,yes_price_dollars,,,155.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":1,""msg"":{""trade_id"":""6a9c0f52-9103-4393-00ba-ae2d74aab2ba"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5400"",""no_price_dollars"":""0.4600"",""count_fp"":""155.00"",""taker_side"":""yes"",""ts"":1773875984}}"
2026-03-18T23:19:44.775000+00:00,1773875984775,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,3.000000,55.0000,yes_price_dollars,,,158.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":2,""msg"":{""trade_id"":""b4fd6c5b-e366-4766-3623-808ca06bd0dc"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5500"",""no_price_dollars"":""0.4500"",""count_fp"":""3.00"",""taker_side"":""yes"",""ts"":1773875984}}"
2026-03-18T23:19:48.847000+00:00,1773875988847,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,5.000000,55.0000,yes_price_dollars,,,163.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":3,""msg"":{""trade_id"":""cb534eba-7d96-7142-e85a-637a984fbfc4"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5500"",""no_price_dollars"":""0.4500"",""count_fp"":""5.00"",""taker_side"":""yes"",""ts"":1773875988}}"
2026-03-18T23:19:51.731000+00:00,1773875991731,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,17.000000,55.0000,yes_price_dollars,,,180.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":4,""msg"":{""trade_id"":""63c057b5-51d6-6da6-0b72-c3bd3ef6c470"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5500"",""no_price_dollars"":""0.4500"",""count_fp"":""17.00"",""taker_side"":""yes"",""ts"":1773875991}}"
2026-03-18T23:20:07.603000+00:00,1773876007603,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,100.000000,54.0000,yes_price_dollars,,,280.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":5,""msg"":{""trade_id"":""bbd8870f-2946-492b-534b-30d86f85ea83"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5400"",""no_price_dollars"":""0.4600"",""count_fp"":""100.00"",""taker_side"":""yes"",""ts"":1773876007}}"
2026-03-18T23:20:12.775000+00:00,1773876012775,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,140.000000,54.0000,yes_price_dollars,,,420.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":6,""msg"":{""trade_id"":""7ef78822-479a-7b43-3be0-854603d8a82b"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5400"",""no_price_dollars"":""0.4600"",""count_fp"":""140.00"",""taker_side"":""yes"",""ts"":1773876012}}"
2026-03-18T23:20:12.776000+00:00,1773876012776,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,240.000000,54.0000,yes_price_dollars,,,660.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":7,""msg"":{""trade_id"":""7ed551b0-dcfb-7f54-2cd7-74b14ef35f72"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5400"",""no_price_dollars"":""0.4600"",""count_fp"":""240.00"",""taker_side"":""yes"",""ts"":1773876012}}"
2026-03-18T23:20:12.777000+00:00,1773876012777,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,240.000000,54.0000,yes_price_dollars,,,900.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":8,""msg"":{""trade_id"":""c3316a91-3924-70ba-05a2-442b9b6857ac"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5400"",""no_price_dollars"":""0.4600"",""count_fp"":""240.00"",""taker_side"":""yes"",""ts"":1773876012}}"
2026-03-18T23:20:12.777000+00:00,1773876012777,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,240.000000,54.0000,yes_price_dollars,,,1140.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":9,""msg"":{""trade_id"":""f302a43b-a6f9-7c5c-3a23-a561323b749a"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5400"",""no_price_dollars"":""0.4600"",""count_fp"":""240.00"",""taker_side"":""yes"",""ts"":1773876012}}"
2026-03-18T23:20:12.777000+00:00,1773876012777,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,140.000000,54.0000,yes_price_dollars,,,1280.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":10,""msg"":{""trade_id"":""1814455c-3130-749a-28c0-0e6714cafe46"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5400"",""no_price_dollars"":""0.4600"",""count_fp"":""140.00"",""taker_side"":""yes"",""ts"":1773876012}}"
2026-03-18T23:20:15.095000+00:00,1773876015095,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,8.000000,54.0000,yes_price_dollars,,,1288.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":11,""msg"":{""trade_id"":""944f8813-2804-64c2-22f6-d5effff0c9ce"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5400"",""no_price_dollars"":""0.4600"",""count_fp"":""8.00"",""taker_side"":""yes"",""ts"":1773876015}}"
2026-03-18T23:20:31.666000+00:00,1773876031666,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,50.000000,55.0000,yes_price_dollars,,,1338.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":12,""msg"":{""trade_id"":""45b9eb79-f74e-5f26-fcbd-5449eff7fc4c"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5500"",""no_price_dollars"":""0.4500"",""count_fp"":""50.00"",""taker_side"":""yes"",""ts"":1773876031}}"
2026-03-18T23:20:31.666000+00:00,1773876031666,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,82.000000,55.0000,yes_price_dollars,,,1420.000000,0.000000,"{""type"":""trade"",""sid"":1,""seq"":13,""msg"":{""trade_id"":""f5e66b36-7627-546d-e3b8-2bc77e49d3e2"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5500"",""no_price_dollars"":""0.4500"",""count_fp"":""82.00"",""taker_side"":""yes"",""ts"":1773876031}}"
2026-03-18T23:20:35.724000+00:00,1773876035724,KXNHLGAME-26MAR18NJNYR-NJ,trade,sell,5.000000,54.0000,yes_price_dollars,,,1420.000000,5.000000,"{""type"":""trade"",""sid"":1,""seq"":14,""msg"":{""trade_id"":""1e3c087e-af78-608c-c172-0d71ca85dd74"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5400"",""no_price_dollars"":""0.4600"",""count_fp"":""5.00"",""taker_side"":""no"",""ts"":1773876035}}"
2026-03-18T23:21:00.469000+00:00,1773876060469,KXNHLGAME-26MAR18NJNYR-NJ,trade,buy,50.000000,55.0000,yes_price_dollars,,,1470.000000,5.000000,"{""type"":""trade"",""sid"":1,""seq"":15,""msg"":{""trade_id"":""ba029c95-6ade-7531-facf-ebfd6b7ba7bb"",""market_ticker"":""KXNHLGAME-26MAR18NJNYR-NJ"",""yes_price_dollars"":""0.5500"",""no_price_dollars"":""0.4500"",""count_fp"":""50.00"",""taker_side"":""yes"",""ts"":1773876060}}"
